,77470,76430,76500,76900,161530,161580,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8025,8019,8416Y,8414A,8500A,9981A,0016A,76,0200E,B893,B228,B278
1988-08-12,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1988-08-13,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1988-08-14,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1988-08-15,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
1988-08-16,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
1988-08-17,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
1988-08-18,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-19,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1988-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1988-09-01,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1988-09-02,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1989-06-15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-21,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
1989-06-22,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
1989-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,
1989-06-24,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,
1989-06-25,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,
1989-06-26,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,
1989-06-27,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
1989-06-28,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1989-07-01,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1989-07-02,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1989-07-03,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1989-07-19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1989-07-20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1989-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
1989-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
1989-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
1989-08-01,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1989-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
1989-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1989-08-17,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-18,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-19,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1989-08-20,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
1989-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
1989-08-22,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-23,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1989-08-24,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-25,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-22,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-23,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-24,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-25,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
