dates,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-02-20,33.746,17.112,10.879,12.521,13.244,8.742,7.896,10.981,14.086,15.555,13.707,11.979,21.492,13.5,15.394,9.792,9.792,11.395,10.965,7.141,8.14,7.917,8.676,14.189,3.495,9.711,12.754,9.41,16.091,16.091,8.959,8.761,8.806,1.489,1.489,3.945,3.067,3.067,10.201
1981-02-21,26.652,7.158,1.497,5.688,4.884,7.019,7.542,9.199,13.999,10.687,13.191,10.353,5.76,3.052,4.959,4.737,4.737,2.846,16.019,13.12,10.281,9.303,5.751,11.883,4.857,16.968,17.325,13.963,17.252,17.252,10.269,10.491,6.468,5.889,5.889,20.084,15.482,15.482,9.379
1981-02-22,6.4,10.675,7.671,3.733,4.51,4.5,2.139,2.842,10.738,8.83,16.735,10.907,12.437,6.008,10.062,5.757,5.757,8.97,12.577,12.96,10.572,12.049,19.201,13.612,7.396,13.217,15.295,11.346,13.627,13.627,11.623,14.017,19.251,15.047,15.047,10.197,12.385,12.385,10.579
1981-02-23,11.099,10.74,15.224,7.791,2.054,4.32,3.643,3.942,3.112,2.378,6.662,11.94,19.34,21.861,26.701,14.053,14.053,14.56,6.593,9.039,8.628,10.914,10.971,6.012,4.24,7.953,10.431,7.936,9.523,9.523,7.83,17.099,10.009,10.585,10.585,8.309,12.437,12.437,11.051
1981-02-24,9.41,8.428,4.857,5.312,7.25,4.944,3.069,3.257,6.643,9.136,5.359,7.612,11.011,5.837,11.633,7.467,7.467,10.194,7.99,8.523,9.219,9.047,7.688,7.432,6.187,7.099,11.497,9.436,10.017,10.017,7.904,20.366,16.011,12.026,12.026,12.899,14.475,14.475,7.893
1981-02-25,24.763,9.241,11.978,10.329,31.894,16.512,12.598,14.523,14.104,10.043,11.076,13.156,4.09,5.761,6.488,18.734,18.734,13.034,8.696,6.461,4.606,11.609,11.363,6.261,4.736,4.893,13.955,12.083,8.985,8.985,7.967,13.478,5.878,7.91,7.91,9.538,6.608,6.608,7.867
1981-02-26,9.573,5.758,4.209,2.913,10.137,7.799,5.006,4.39,15.03,15.448,13.596,14.254,11.617,7.247,8.28,7.3,7.3,6.383,8.729,8.909,7.909,9.157,12.633,11.542,8.414,6.458,3.504,1.543,5.388,5.388,4.274,2.11,2.909,3.675,3.675,3.632,4.523,4.523,5.518
1981-02-27,36.601,24.479,22.523,6.032,5.809,3.744,3.284,8.189,4.813,2.902,4.052,6.536,8.503,3.43,4.274,8.942,8.942,8.184,11.507,13.228,12.544,9.335,8.076,19.551,16.008,16.812,12.634,10.666,16.168,16.168,12.871,13.168,9.265,8.607,8.607,9.591,9.27,9.27,10.737
1981-02-28,23.163,1.173,20.044,11.445,10.62,6.218,8.947,8.781,5.581,5.988,8.916,10.225,6.357,8.594,7.492,7.723,7.723,4.963,13.242,11.866,9.858,10.466,8.916,7.172,10.966,7.087,8.086,6.414,14.509,14.509,12.591,9.598,7.984,9.561,9.561,9.753,10.635,10.635,9.735
1981-03-01,14.482,8.12,5.119,1.938,3.376,8.323,9.521,10.01,4.043,4.187,4.991,5.33,2.909,4.007,1.7,5.905,5.905,7.893,7.355,9.465,10.499,8.454,6.164,3.33,5.141,4.438,2.01,1.885,10.624,10.624,6.276,1.633,2.355,5.526,5.526,7.433,7.633,7.633,10.826
1981-03-02,8.514,3.989,2.884,4.723,3.796,11.636,14.676,15.516,9.682,9.444,7.164,7.094,10.623,5.842,10.498,10.815,10.815,10.964,4.155,5.736,4.803,6.595,4.882,7.248,4.163,3.443,8.518,6.427,10.262,10.262,8.265,12.164,7.844,5.893,5.893,8.105,7.373,7.373,11.221
1981-03-03,15.449,17.351,18.401,12.758,19.17,11.579,14.714,13.535,19.577,19.032,14.27,15.16,35.479,30.571,43.608,10.858,10.858,12.946,9.253,13.297,13.842,13.132,11.764,4.046,6.189,8.593,14.46,11.608,9.952,9.952,7.668,17.315,21.868,15.272,15.272,13.408,11.971,11.971,10.546
1981-03-04,21.964,13.273,30.236,3.862,3.157,17.138,9.194,10.346,21.289,31.914,10.116,14.639,9.738,13.191,14.469,25.254,25.254,21.754,7.184,8.985,6.864,10.556,13.127,5.195,8.691,2.621,8.235,7.166,11.965,11.965,8.562,9.917,3.768,5.357,5.357,6.31,4.32,4.32,7.184
1981-03-05,6.978,6.817,4.297,4.751,7.652,3.862,2.474,3.853,3.123,1.486,3.918,6.452,20.38,15.105,18.665,4.957,4.957,7.613,6.026,5.665,3.15,8.151,6.511,6.159,3.213,1.261,1.002,0.981,6.895,6.895,5.461,7.174,6.665,8.611,8.611,6.65,5.294,5.294,5.733
1981-03-06,9.959,8.731,9.136,4.902,10.745,5.081,6.764,6.853,6.84,4.369,5.349,6.11,9.827,6.588,9.902,4.585,4.585,6.158,5.043,7.549,4.243,4.871,4.029,6.357,2.44,2.74,7.76,5.276,7.125,7.125,7.167,14.915,8.371,7.605,7.605,7.554,6.386,6.386,9.006
1981-03-07,14.244,6.546,4.411,3.725,4.498,9.367,8.532,10.765,8.211,6.134,3.119,2.937,5.843,4.736,4.07,4.481,4.481,1.738,4.09,5.745,3.799,7.962,7.561,8.295,3.474,3.334,2.128,2.501,5.416,5.416,4.31,10.692,5.382,5.398,5.398,3.636,5.909,5.909,2.283
1981-03-08,5.141,1.037,7.683,9.405,15.565,5.246,2.725,1.985,4.174,2.676,3.423,2.896,12.619,7.93,11.955,3.224,3.224,2.206,7.172,6.98,6.993,5.438,3.386,4.028,2.403,3.383,3.977,5.683,6.851,6.851,5.448,5.514,6.868,8.689,8.689,4.069,4.542,4.542,3.606
