time,77470,76430,76500,76900,161530,161680,162420,162450,162890,163100,164290,164050,77650,77800,77610,165600,165460,165200,604900,603900,604020,603600,607150,6155A,6325O,7031,8019,8025,8414A,8416,8500A,9981A,0016A,76,0200E,B893,B278,B228,B954
1981-12-15,W,W,W,W,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,A,ANW,NW,NW,NW,A,ANW,ANW,ANW,ANW,ANW,ANW,NW,W,W,W,W,NW,NW,NW,ANW
1981-12-16,NW,CNW,CNW,CNW,CNW,C,C,CNW,CW,CW,W,W,CNW,CNW,CNW,NW,NW,CNW,ANW,NW,NW,W,NW,ANW,ANW,ANW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-12-17,CSW,C,C,C,C,C,C,C,CW,CW,W,W,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,SW,SW,SW,SW,W,W,W,W
1981-12-18,C,C,C,C,C,C,CSW,CSW,CS,S,SW,SW,C,C,C,C,C,C,NW,CW,CW,CW,W,NW,NW,NW,NW,NW,NW,NW,CNW,CNW,C,C,C,C,CW,CW,CNW
1981-12-19,N,N,N,N,C,C,C,C,C,C,CW,C,C,C,C,C,C,C,N,NW,NW,NW,CNW,A,AN,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1981-02-02,A,A,A,A,A,A,A,A,A,A,A,A,A,A,ANE,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,ANE,A,A,A,A,A,A,A,A
1981-02-03,ANW,ANW,AW,ANW,ANW,NW,AW,W,AW,W,NW,W,ANW,ANW,ANW,ANW,ANW,ANW,A,ANW,ANW,ANW,NW,A,A,A,A,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW,ANW
1981-02-04,NW,NW,NW,CNW,CNW,CW,W,W,W,W,W,W,CW,W,W,W,W,W,NW,W,W,W,W,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW,NW
1981-02-05,N,N,N,N,N,C,C,C,C,C,CNW,C,C,C,N,C,C,C,N,NW,NW,NW,CNW,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1981-02-06,AN,AN,AN,AN,AN,NE,NE,NE,CNE,CNE,C,C,N,N,N,N,N,N,A,AN,N,N,N,A,ANE,ANE,ANE,ANE,ANE,ANE,ANE,AN,AN,AN,AN,N,N,N,AN
1981-02-07,A,A,A,A,A,N,NE,NE,NE,NE,N,N,AN,AN,AN,AN,AN,AN,A,A,A,AN,N,A,A,A,A,A,AE,AE,A,A,A,A,A,AN,AN,AN,ANE
1981-02-08,A,A,A,A,A,A,A,A,ANW,AN,AN,AN,AN,A,A,A,A,A,A,A,A,A,ANW,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1981-02-09,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,SW,A,A,A,SW,A,A,C,C,C,C,C,C,C,CW,CW,CW,CW,A,A,A,CW
1981-02-10,NE,NE,N,C,C,C,A,A,A,A,A,A,C,C,C,C,C,C,C,C,C,A,A,C,C,C,C,C,C,C,C,A,NE,NE,NE,C,C,C,C
1981-02-11,NE,NE,NE,NE,NE,C,C,C,C,CS,C,C,CNE,C,NE,C,C,CNE,CE,C,C,C,C,E,C,E,E,NE,NE,NE,E,NE,NE,NE,NE,NE,CNE,CNE,CNE
